distance,radeg,raerr,decl,decerr,RHJD,Airmass,Vphot,BVphot,UBphot,VRphot,RIphot,VIphot,Usat,Bsat,Vsat,Rsat,Isat,V,eV,B-V,eB-V,U-B,eU-B,V-R,eV-R,R-I,eR-I,V-I,eV-I,Vzero,BVzero,UBzero,VRzero,RIzero,VIzero,fieldID,source
0.5,47.0423946,0,40.9556978,0,55888.8613,1.167,0,0,0,0,0,0,0,0,0,0,0,2.155,0.001,0.015,0.001,99.999,9.999,0.032,0.001,0.043,0.001,0.049,0.001,-0.016,-0.089,0,-0.013,-0.031,-0.024, 0000200007,28
0.4,47.0423192,0,40.9557585,0,55888.9431,1.664,0,0,0,0,0,0,0,0,0,0,0,2.179,0.001,-0.055,0.001,99.999,9.999,-0.056,0.001,0.084,0.001,-0.008,0.001,0.005,-0.033,0,-0.02,0,0.01, 0000200009,28
2.8,47.0429813,0,40.9562217,0,55889.5486,1.875,0,0,0,0,0,0,0,0,0,0,0,2.218,0.001,-0.087,0.001,99.999,9.999,0.041,0.001,0,0.001,0.02,0.001,0.046,-0.052,0,-0.014,0.031,0.032, 0000800704,28
2.8,47.0429813,0,40.9562217,0,55889.5486,1.877,0,0,0,0,0,0,0,0,0,0,0,2.147,0.001,-0.016,0.001,99.999,9.999,-0.028,0.001,0,0.001,-0.049,0.001,0.046,-0.052,0,-0.014,0.031,0.032, 0000800704,28
3.4,47.042421,0,40.956599,0,55889.629,1.242,0,0,0,0,0,0,0,0,0,0,0,2.047,0.001,0.023,0.001,99.999,9.999,-0.034,0.001,-0.025,0.001,-0.051,0.001,0.108,-0.064,0,-0.023,0.045,0.008, 0000200007,28
0.6,47.042322,0,40.9558195,0,55889.7722,1.016,0,0,0,0,0,0,0,0,0,0,0,2.2,0.001,-0.058,0.001,99.999,9.999,0.014,0.001,0.011,0.001,0.003,0.001,0.079,-0.06,0,-0.025,0.033,0.024, 0000801611,28
0.5,47.0423683,0,40.9557712,0,55889.9404,1.668,0,0,0,0,0,0,0,0,0,0,0,2.347,0.001,-0.27,0.001,99.999,9.999,0.131,0.002,0.029,0.002,0.176,0.002,0.21,-0.082,0,0.017,0.058,0.054, 0007800070,28
0.5,47.0423683,0,40.9557712,0,55889.9404,1.665,0,0,0,0,0,0,0,0,0,0,0,2.222,0.001,-0.171,0.001,99.999,9.999,0.007,0.002,0.029,0.002,0.052,0.002,0.21,-0.082,0,0.017,0.058,0.054, 0007800070,28
3.4,47.0430678,0,40.9563825,0,55892.539,1.891,0,0,0,0,0,0,0,0,0,0,0,2.043,0.001,0.161,0.001,99.999,9.999,99.999,9.999,99.999,9.999,-0.02,0.001,-0.012,-0.063,0,-0.001,0.006,-0.01, 0000100037,28
3.4,47.0430678,0,40.9563825,0,55892.539,1.89,0,0,0,0,0,0,0,0,0,0,0,2.084,0.001,0.12,0.001,99.999,9.999,-0.004,0.001,0.016,0.001,0.019,0.001,-0.012,-0.063,0,-0.001,0.006,-0.01, 0000100037,28
2.7,47.0429703,0,40.9561562,0,55892.7057,1.03,0,0,0,0,0,0,0,0,0,0,0,2.089,0.001,0.031,0.001,99.999,9.999,0.003,0.001,-0.006,0.001,0.007,0.001,-0.021,-0.045,0,0.001,0.007,-0.01, 0007900001,28
0.2,47.0422534,0,40.955612,0,55892.7664,1.016,0,0,0,0,0,0,0,0,0,0,0,2.109,0.001,0.008,0.001,99.999,9.999,-0.01,0.001,0.022,0.001,-0.009,0.001,-0.023,-0.008,0,-0.039,0.026,0, 0007800015,28
3.3,47.043324,0,40.9560882,0,55892.8486,1.161,0,0,0,0,0,0,0,0,0,0,0,2.151,0.001,0.024,0.001,99.999,9.999,0.045,0.001,-0.019,0.001,-0.009,0.001,0,-0.07,0,-0.005,0.003,0.024, 0000200007,28
2.2,47.041422,0,40.955468,0,55892.9345,1.679,0,0,0,0,0,0,0,0,0,0,0,2.138,0.001,0.024,0.001,99.999,9.999,99.999,9.999,99.999,9.999,0.059,0.001,-0.019,-0.107,0,0.047,0.022,0.01, 0000800465,28
2.8,47.0429815,0,40.956219,0,55893.6166,1.247,0,0,0,0,0,0,0,0,0,0,0,2.095,0.001,0.074,0.001,99.999,9.999,-0.031,0.001,0.034,0.001,-0.027,0.001,-0.025,-0.042,0,-0.034,-0.002,-0.013, 0000200009,28
2.2,47.042616,0,40.9562215,0,55893.7027,1.03,0,0,0,0,0,0,0,0,0,0,0,2.096,0.001,0.02,0.001,99.999,9.999,-0.017,0.001,-0.002,0.001,-0.061,0.001,-0.018,-0.043,0,-0.039,0.009,0.005, 0007900001,28
1.1,47.042573,0,40.9558223,0,55893.7641,1.016,0,0,0,0,0,0,0,0,0,0,0,2.123,0.001,-0.011,0.001,99.999,9.999,-0.022,0.001,0.007,0.001,-0.021,0.001,0.003,-0.022,0,-0.024,0.027,0.001, 0007800015,28
0.6,47.0424343,0,40.9557558,0,55893.8454,1.163,0,0,0,0,0,0,0,0,0,0,0,2.044,0.001,0.041,0.001,99.999,9.999,-0.057,0.001,0.018,0.001,-0.06,0.001,0.023,0.019,0,-0.027,0.021,0.008, 0000200007,28
